Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion,Unit_Price,Cost_Per_Item,Profit,Customer_ID,Basket_Size,Product_Category,Category,Sub_Category
1000000000,"21-01-2022 06:27","Stacey Price","['Ketchup', 'Shaving Cream', 'Light Bulbs']",3,71.65,"Mobile Payment","Los Angeles","Warehouse Club",TRUE,Homemaker,Winter,None,23.88333333,12.23691328,34.93926015,118350,3,Ketchup,Condiments,Ketchup
1000000001,"01-03-2023 13:01","Michelle Carlson","['Ice Cream', 'Milk', 'Olive Oil', 'Bread', 'Potatoes']",2,25.93,Cash,"San Francisco","Specialty Store",TRUE,Professional,Fall,"BOGO (Buy One Get One)",12.965,8.883803295,8.16239341,322706,5,"Ice Cream",Dairy,"Ice Cream"
1000000002,"21-03-2024 15:37","Lisa Graves",['Spinach'],6,41.49,"Credit Card",Houston,"Department Store",TRUE,Professional,Winter,None,6.915,4.284521432,15.78287141,864947,1,Spinach,Vegetables,Spinach
1000000003,"31-10-2020 09:59","Mrs. Patricia May","['Tissues', 'Mustard']",1,39.34,"Mobile Payment",Chicago,Pharmacy,TRUE,Homemaker,Spring,None,39.34,22.80136743,16.53863257,549441,2,Tissues,"Cleaning Supplies",Tissues
1000000004,"10-12-2020 00:59","Susan Mitchell","['Dish Soap']",10,16.42,"Debit Card",Houston,"Specialty Store",FALSE,"Young Adult",Winter,"Discount on Selected Items",1.642,0.733654782,9.083452177,711317,1,"Dish Soap","Cleaning Supplies","Dish Soap"
1000000005,"07-10-2021 12:37","Joshua Frazier","['Toothpaste', 'Chicken']",3,72.24,Cash,Houston,Supermarket,TRUE,Retiree,Spring,"Discount on Selected Items",24.08,10.75890441,39.96328676,386009,2,Toothpaste,"Personal Care",Toothpaste
1000000006,"08-01-2023 10:40","Victoria Garrett","['Honey', 'BBQ Sauce', 'Soda', 'Olive Oil', 'Garden Hose']",4,5.28,Cash,Boston,"Specialty Store",FALSE,Student,Summer,"Discount on Selected Items",1.32,0.55100111,3.075995558,111095,5,Honey,"Pantry & Snacks",Honey
1000000007,"03-09-2020 12:39","Sydney Waller","['Syrup', 'Trash Cans', 'Pancake Mix', 'Water', 'Mayonnaise']",5,21.77,"Debit Card",Chicago,"Specialty Store",FALSE,"Young Adult",Winter,"Discount on Selected Items",4.354,2.872999282,7.405003592,820318,5,Syrup,"Pantry & Snacks",Syrup
1000000008,"05-04-2021 06:32","Kimberly Morgan","['Insect Repellent']",4,55.25,"Mobile Payment","Los Angeles","Warehouse Club",FALSE,Homemaker,Fall,None,13.8125,8.01587033,23.18651868,838676,1,"Insect Repellent",Other,"Insect Repellent"
1000000009,"08-07-2021 10:08","Lori Conway","['Soap', 'Baby Wipes', 'Soda']",7,31.21,"Mobile Payment",Boston,"Convenience Store",TRUE,"Young Adult",Winter,None,4.458571429,2.730526221,12.09631645,919866,3,Soap,"Personal Care",Soap
1000000010,"18-03-2020 18:58","Randall Roberts","['Extension Cords', 'Soda', 'Water', 'Garden Hose', 'Cleaning Spray']",8,91.59,"Debit Card",Boston,"Department Store",TRUE,Middle-Aged,Fall,"BOGO (Buy One Get One)",11.44875,4.650200019,54.38839985,692566,5,"Extension Cords","Household Electronics","Extension Cords"
1000000011,"30-03-2023 19:26","Jeremiah White","['Tea', 'Paper Towels', 'Spinach']",7,31.88,"Mobile Payment","New York","Specialty Store",FALSE,"Young Adult",Fall,"Discount on Selected Items",4.554285714,3.146888261,9.851782174,38005,3,Tea,Beverages,Tea
1000000012,"27-05-2023 15:52","Sheila Mcgee","['Salmon', 'Shaving Cream']",9,39.75,"Debit Card","New York",Pharmacy,FALSE,Student,Summer,"Discount on Selected Items",4.416666667,2.869653166,13.92312151,245232,2,Salmon,"Meat & Seafood",Salmon
1000000013,"02-04-2023 09:24","Allen Miles","['Trash Bags', 'Apple', 'Mop', 'Hair Gel']",7,17.51,"Mobile Payment",Seattle,"Warehouse Club",FALSE,Retiree,Winter,"BOGO (Buy One Get One)",2.501428571,1.159916764,9.390582652,588347,4,"Trash Bags","Cleaning Supplies","Trash Bags"
1000000014,"09-04-2020 04:31","Mark Howard","['Razors', 'Laundry Detergent', 'Beef']",1,33.64,"Credit Card","San Francisco","Warehouse Club",TRUE,Retiree,Spring,None,33.64,15.29097757,18.34902243,639573,3,Razors,Other,Razors
1000000015,"01-01-2021 04:29","Jesse Henderson","['Cereal', 'Vinegar', 'Bath Towels']",7,29.57,"Mobile Payment","San Francisco","Convenience Store",FALSE,Retiree,Winter,"BOGO (Buy One Get One)",4.224285714,1.922140201,16.11501859,119040,3,Cereal,"Grains & Bakery",Cereal
1000000016,"15-10-2021 13:24","Eric Wall","['Air Freshener', 'Feminine Hygiene Products']",5,99.7,"Mobile Payment",Miami,"Specialty Store",TRUE,Homemaker,Spring,None,19.94,9.795977097,50.72011451,710278,2,"Air Freshener","Home & Misc","Air Freshener"
1000000017,"16-09-2021 09:28","Vanessa Peck","['Power Strips', 'Honey', 'Ketchup', 'Tea', 'Shampoo']",8,15.62,"Credit Card","San Francisco","Department Store",FALSE,"Senior Citizen",Fall,None,1.9525,1.08837608,6.912991361,507535,5,"Power Strips","Household Electronics","Power Strips"
1000000018,"18-07-2022 11:33","Dominique Stout","['Mustard', 'Dustpan']",3,98.28,"Mobile Payment","New York","Warehouse Club",FALSE,Professional,Fall,"BOGO (Buy One Get One)",32.76,17.34915564,46.23253307,198378,2,Mustard,Condiments,Mustard
1000000019,"31-01-2021 07:52","Charles Brooks",['Coffee'],7,96.77,"Debit Card",Chicago,"Department Store",TRUE,Homemaker,Winter,"Discount on Selected Items",13.82428571,6.737524738,49.60732683,721843,1,Coffee,Beverages,Coffee
1000000020,"31-10-2021 07:46","Angela Jones","['Pancake Mix', 'Vacuum Cleaner']",7,83.86,Cash,Houston,Pharmacy,FALSE,Teenager,Winter,"Discount on Selected Items",11.98,6.990999304,34.92300487,38208,2,"Pancake Mix","Grains & Bakery","Pancake Mix"
1000000021,"30-12-2022 20:03","John Roberts","['Coffee', 'Shaving Cream']",1,39.93,"Credit Card",Miami,"Department Store",FALSE,Retiree,Summer,"BOGO (Buy One Get One)",39.93,17.64299696,22.28700304,283350,2,Coffee,Beverages,Coffee
1000000022,"08-06-2021 10:28","Nicole White","['Shrimp', 'Iron', 'Cleaning Spray', 'Toilet Paper', 'Peanut Butter']",4,35.62,"Mobile Payment","New York","Warehouse Club",TRUE,Retiree,Spring,"BOGO (Buy One Get One)",8.905,4.342464429,18.25014229,780217,5,Shrimp,"Meat & Seafood",Shrimp
1000000023,"03-01-2020 23:24","Don Harris","['Dishware', 'Pickles']",7,19.56,Cash,"San Francisco","Department Store",FALSE,Retiree,Spring,"BOGO (Buy One Get One)",2.794285714,1.424830185,9.586188704,728668,2,Dishware,Other,Dishware
1000000024,"27-02-2023 16:46","Hannah Rowland","['Sponges', 'Vacuum Cleaner', 'Iron']",4,24.03,"Debit Card",Dallas,Pharmacy,FALSE,Student,Winter,None,6.0075,3.224952129,11.13019148,942483,3,Sponges,"Cleaning Supplies",Sponges
1000000025,"14-02-2020 13:19","Jessica Gonzalez","['Broom', 'Cereal']",10,7.82,"Credit Card","New York","Convenience Store",FALSE,Professional,Fall,"BOGO (Buy One Get One)",0.782,0.497002281,2.849977195,996284,2,Broom,"Cleaning Equipment",Broom
1000000026,"21-09-2020 10:34","Christina Smith","['Garden Hose', 'Trash Cans']",6,49.45,"Debit Card",Dallas,"Warehouse Club",FALSE,"Senior Citizen",Winter,"Discount on Selected Items",8.241666667,3.790360093,26.70783944,594084,2,"Garden Hose","Garden Tools","Garden Hose"
1000000027,"26-03-2020 22:08","Latoya Allen","['Ketchup', 'Trash Cans', 'Toothbrush']",10,29.36,"Mobile Payment",Boston,"Specialty Store",FALSE,Professional,Spring,None,2.936,1.627337693,13.08662307,840013,3,Ketchup,Condiments,Ketchup
1000000028,"13-08-2022 01:26","Clayton Roth","['Tomatoes', 'Salmon']",7,21.08,"Credit Card","San Francisco","Specialty Store",TRUE,Teenager,Fall,None,3.011428571,1.739775676,8.901570267,709720,2,Tomatoes,Vegetables,Tomatoes
1000000029,"27-02-2020 10:23","Dennis Alvarez","['Tea', 'Salmon', 'Bath Towels', 'Toothpaste']",7,75.38,"Mobile Payment",Houston,"Convenience Store",TRUE,Teenager,Summer,"Discount on Selected Items",10.76857143,4.457489948,44.17757037,280799,4,Tea,Beverages,Tea
1000000030,"08-01-2023 22:59","Jose Hill","['Olive Oil']",1,73.17,"Debit Card",Boston,"Specialty Store",TRUE,"Senior Citizen",Spring,None,73.17,42.60421704,30.56578296,57455,1,"Olive Oil","Pantry & Snacks","Olive Oil"
1000000031,"04-05-2024 13:22","Kristin Webb","['Extension Cords', 'Razors', 'Chips', 'Shampoo']",4,13.34,"Debit Card",Houston,"Department Store",FALSE,Teenager,Summer,None,3.335,1.504609386,7.321562457,283817,4,"Extension Cords","Household Electronics","Extension Cords"
1000000032,"04-04-2023 10:57","Robert Gilbert DDS","['Apple', 'Butter']",7,41.4,"Debit Card",Chicago,Supermarket,FALSE,Middle-Aged,Spring,None,5.914285714,2.481134398,24.03205922,142576,2,Apple,Fruits,Apple
1000000033,"26-03-2022 19:18","Thomas Oliver","['Broom', 'Chicken', 'Spinach', 'Broom']",8,26.67,"Credit Card",Chicago,"Specialty Store",TRUE,Homemaker,Spring,"Discount on Selected Items",3.33375,2.282504148,8.409966816,523619,4,Broom,"Cleaning Equipment",Broom
1000000034,"07-02-2023 14:09","Stacy Owen","['Yogurt', 'Ice Cream', 'Insect Repellent']",5,34.27,"Credit Card","San Francisco",Supermarket,TRUE,Teenager,Summer,"BOGO (Buy One Get One)",6.854,4.727132586,10.63433707,516159,3,Yogurt,Dairy,Yogurt
1000000035,"12-10-2022 11:57","Ann Kane","['Onions', 'Dish Soap']",10,62.33,"Credit Card",Miami,"Warehouse Club",FALSE,"Young Adult",Spring,None,6.233,4.004822201,22.28177799,664568,2,Onions,Vegetables,Onions
1000000036,"16-10-2020 09:05","Mr. John Long","['Tomatoes', 'Mustard', 'Apple', 'Hair Gel']",4,19.11,"Debit Card",Chicago,"Convenience Store",TRUE,Middle-Aged,Winter,"Discount on Selected Items",4.7775,2.347587685,9.719649261,81237,4,Tomatoes,Vegetables,Tomatoes
1000000037,"31-05-2020 05:35","Annette Robinson","['Garden Hose']",4,25.76,"Mobile Payment","Los Angeles","Warehouse Club",TRUE,Homemaker,Fall,"BOGO (Buy One Get One)",6.44,2.764702524,14.7011899,523471,1,"Garden Hose","Garden Tools","Garden Hose"
1000000038,"11-07-2020 22:15","Kimberly Baldwin","['Shower Gel', 'Dish Soap', 'Plant Fertilizer', 'Garden Hose', 'Tuna']",7,61.55,"Credit Card","New York","Convenience Store",FALSE,Student,Fall,None,8.792857143,5.322051834,24.29563717,432697,5,"Shower Gel","Personal Care","Shower Gel"
1000000039,"11-07-2023 11:36","Donald Bradford","['Potatoes', 'Air Freshener', 'Sponges', 'Onions', 'Laundry Detergent']",5,39.08,Cash,Dallas,Supermarket,FALSE,"Young Adult",Spring,None,7.816,4.158469567,18.28765216,344961,5,Potatoes,Vegetables,Potatoes
1000000040,"31-05-2022 17:09","Mike Gilbert","['Feminine Hygiene Products']",4,12.97,"Credit Card",Atlanta,"Department Store",FALSE,Professional,Winter,None,3.2425,1.415712693,7.307149228,545338,1,"Feminine Hygiene Products","Personal Care","Feminine Hygiene Products"
1000000041,"01-07-2023 20:11","Rebecca Morton","['Shaving Cream', 'Butter']",8,56.99,"Debit Card",Miami,"Specialty Store",TRUE,Retiree,Summer,"Discount on Selected Items",7.12375,3.907754954,25.72796037,259378,2,"Shaving Cream","Personal Care","Shaving Cream"
1000000042,"13-11-2023 12:48","Nicole Hernandez","['Lawn Mower', 'Eggs', 'Dustpan', 'Peanut Butter', 'Beef']",9,99.77,Cash,Boston,"Specialty Store",TRUE,Professional,Spring,"Discount on Selected Items",11.08555556,4.548586981,58.83271717,705963,5,"Lawn Mower","Garden Tools","Lawn Mower"
1000000043,"12-10-2020 12:39","Paige White","['Dustpan', 'BBQ Sauce', 'Toothbrush', 'Deodorant', 'Dish Soap']",8,29.82,Cash,Atlanta,"Specialty Store",FALSE,Student,Winter,"Discount on Selected Items",3.7275,2.50784754,9.757219683,707922,5,Dustpan,"Cleaning Equipment",Dustpan
1000000044,"21-09-2022 05:09","Mr. Lance Perkins","['Bread', 'Dustpan', 'Ketchup', 'Ironing Board']",7,89.97,Cash,Atlanta,"Department Store",FALSE,Middle-Aged,Winter,None,12.85285714,6.138961498,46.99726952,618869,4,Bread,"Grains & Bakery",Bread
1000000045,"28-10-2022 18:17","Kelly Foley",['Soap'],2,83.55,"Credit Card",Chicago,"Convenience Store",FALSE,Professional,Spring,"Discount on Selected Items",41.775,25.01306053,33.52387894,917438,1,Soap,"Personal Care",Soap
1000000046,"10-05-2024 23:21","Paula Maldonado",['Razors'],10,44.98,Cash,Dallas,"Convenience Store",FALSE,Student,Fall,None,4.498,2.219822926,22.78177074,718804,1,Razors,Other,Razors
1000000047,"06-02-2023 01:31","Roberto Franklin","['Pasta', 'Olive Oil']",7,76.09,"Mobile Payment","Los Angeles","Convenience Store",TRUE,Retiree,Summer,None,10.87,6.043941817,33.78240728,374619,2,Pasta,"Grains & Bakery",Pasta
1000000048,"17-04-2024 00:49","Steven Clements","['Beef', 'Milk', 'Salmon', 'Shampoo']",10,55.69,"Credit Card",Seattle,"Department Store",TRUE,Teenager,Summer,"Discount on Selected Items",5.569,3.140988864,24.28011136,140842,4,Beef,"Meat & Seafood",Beef
1000000049,"24-06-2021 14:01","Katherine Luna",['Tea'],3,61.53,Cash,Houston,"Warehouse Club",FALSE,Retiree,Winter,"Discount on Selected Items",20.51,9.341409465,33.50577161,76038,1,Tea,Beverages,Tea
1000000050,"10-04-2021 19:14","Ryan Hammond","['Hand Sanitizer', 'Plant Fertilizer', 'Baby Wipes', 'Hand Sanitizer', 'Power Strips']",1,78.46,"Mobile Payment","San Francisco",Supermarket,FALSE,Teenager,Summer,"Discount on Selected Items",78.46,54.20608297,24.25391703,971227,5,"Hand Sanitizer","Home & Misc","Hand Sanitizer"
1000000051,"18-09-2023 09:06","Valerie Johnson",['Bread'],9,49.7,"Mobile Payment",Miami,Pharmacy,TRUE,Retiree,Fall,None,5.522222222,3.4930256,18.2627696,916818,1,Bread,"Grains & Bakery",Bread
